,acc_account_id,acc_frequency,acc_date,loan_loan_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status,trans_datediff,trans_last_trans,trans_n_trans,trans_sum_amount,trans_avg_amount,trans_credit,trans_withdrawal,trans_household_amount,trans_insurance_amount,trans_interest_amount,trans_loan_amount,trans_pension_amount,trans_sanction_amount,trans_statement_amount,trans_int_rate,disp_disp_id,disp_owner,cc_card_id,cc_type,cc_date,cc_owner,dist_dist_name,dist_dist_region,dist_nb_habitants,dist_ratio_urban,dist_avg_salary,dist_unemp_95,dist_unemp_96,dist_nb_entrepreneurs,dist_crimes_95,dist_crimes_96,cust_client_id,cust_g,cust_age,cust_age_group,ord_amount,ord_leasing,ord_hh_payment,ord_loan_payment,ord_insr_payment,cc_create_time,loan_create_time
0,576,Monthly Issuance,1993-01-01,,,,,,,6.1344537815126055,1998-12-31 00:00:00.000000,358,875619.299999999,2445.863966480444,455585.10000000003,420034.1999999996,249016.0,0.0,7781.1,0.0,446904.0,0.0,978.2000000000011,0.0088863961769687,692,1,,,,,Brno - venkov,south Moravia,157042,33.9,8743,1.88,2.43,111,3659,3894,692,F,64,60,3662.0,0.0,3662.0,0.0,0.0,,
1,576,Monthly Issuance,1993-01-01,,,,,,,6.1344537815126055,1998-12-31 00:00:00.000000,358,875619.299999999,2445.863966480444,455585.10000000003,420034.1999999996,249016.0,0.0,7781.1,0.0,446904.0,0.0,978.2000000000011,0.0088863961769687,693,0,,,,,Brno - venkov,south Moravia,157042,33.9,8743,1.88,2.43,111,3659,3894,693,M,64,60,3662.0,0.0,3662.0,0.0,0.0,,
2,3818,Monthly Issuance,1993-01-01,,,,,,,3.9177101967799643,1998-12-31 00:00:00.000000,560,2753196.2000000044,4916.421785714294,1407698.0,1345498.2000000007,244528.0,276420.0,13050.0,0.0,0.0,0.0,978.2000000000011,0.004739945522226124,4601,1,,,,,Ostrava - mesto,north Moravia,323870,100.0,10673,4.75,5.44,100,18782,18347,4601,M,64,60,9135.0,0.0,3596.0,0.0,4065.0,,
3,3818,Monthly Issuance,1993-01-01,,,,,,,3.9177101967799643,1998-12-31 00:00:00.000000,560,2753196.2000000044,4916.421785714294,1407698.0,1345498.2000000007,244528.0,276420.0,13050.0,0.0,0.0,0.0,978.2000000000011,0.004739945522226124,4602,0,,,,,Ostrava - mesto,north Moravia,323870,100.0,10673,4.75,5.44,100,18782,18347,4602,F,65,60,9135.0,0.0,3596.0,0.0,4065.0,,
4,704,Monthly Issuance,1993-01-01,,,,,,,4.581589958158996,1998-12-31 00:00:00.000000,479,2674889.200000003,5584.319832985392,1378285.0000000007,1296604.2000000004,143447.0,0.0,11172.999999999998,0.0,0.0,0.0,978.2000000000011,0.0041769954434000426,844,1,,,,,Brno - venkov,south Moravia,157042,33.9,8743,1.88,2.43,111,3659,3894,844,M,54,50,3338.0,0.0,2141.0,0.0,0.0,,
5,704,Monthly Issuance,1993-01-01,,,,,,,4.581589958158996,1998-12-31 00:00:00.000000,479,2674889.200000003,5584.319832985392,1378285.0000000007,1296604.2000000004,143447.0,0.0,11172.999999999998,0.0,0.0,0.0,978.2000000000011,0.0041769954434000426,845,0,,,,,Brno - venkov,south Moravia,157042,33.9,8743,1.88,2.43,111,3659,3894,845,F,46,40,3338.0,0.0,2141.0,0.0,0.0,,
6,2378,Monthly Issuance,1993-01-01,,,,,,,5.046082949308755,1998-12-31 00:00:00.000000,435,5315969.899999998,12220.620459770109,2704659.9,2611310.0000000037,682452.0,0.0,14143.9,0.0,0.0,0.0,1022.0000000000011,0.0026606433569159233,2873,1,,,,,Jindrichuv Hradec,south Bohemia,93931,56.9,8427,1.12,1.54,107,1874,1913,2873,F,24,20,9612.0,0.0,9612.0,0.0,0.0,,
7,2632,Monthly Issuance,1993-01-02,,,,,,,3.8880994671403197,1998-12-31 00:00:00.000000,564,2196122.000000003,3893.8333333333385,1129540.7999999998,1066581.1999999988,138856.0,154100.0,10748.800000000001,0.0,0.0,0.0,978.2000000000011,0.004894445754835108,3177,1,,,,,Karlovy Vary,west Bohemia,122603,80.0,8991,1.39,2.01,128,5198,5273,3177,M,61,60,4383.0,0.0,2042.0,0.0,2300.0,,
8,1972,Monthly Issuance,1993-01-02,,,,,,,5.948369565217392,1998-12-31 00:00:00.000000,369,752552.8999999991,2039.4387533875315,388146.70000000007,364406.1999999998,186048.0,0.0,6290.699999999999,0.0,381456.0,0.0,978.2000000000011,0.008359146579595942,2397,1,,,,,Vsetin,north Moravia,148545,53.5,8909,4.01,5.56,113,3460,3590,2397,M,81,80,2736.0,0.0,2736.0,0.0,0.0,,
9,1539,Issue after transaction,1993-01-03,,,,,,,4.851441241685144,1998-12-31 00:00:00.000000,452,3634519.9000000013,8040.973230088499,1821738.7000000002,1812781.2000000004,381800.0,0.0,6475.700000000001,0.0,0.0,547.2,6700.0,0.0017817208814842364,1866,1,,,,,Hl.m. Praha,Prague,1204953,100.0,12541,0.29,0.43,167,85677,99107,1866,F,57,50,,,,,,,
